id,headline,headline_original,label,source_type,source,author,section,published_at,url,clickbait_score,clickbait_reasons,needs_review,split,labeling_method,collection_method,scraped_at,feed_url,headline_language_detected,headline_language_probability,headline_translation_reason,headline_translation_method
d70e6cec6cae731d,luis miguel 2da parte 4,luis miguel 2da parte 4,informativo,nacional,FMDOS,,,2014-07-24T04:15:30+00:00,https://www.fmdos.cl/especial-de-las-dos/luis-miguel-2da-parte-4/,0.0,,False,train,weak-rules-v1.2,sitemap_url_slug,2026-04-20T23:34:10.215314+00:00,,fr,0.571426,kept,kept_original
81f12b642c245775,la oreja de van gogh,la oreja de van gogh,informativo,nacional,FMDOS,,,2013-10-30T06:45:32+00:00,https://www.fmdos.cl/especial-de-las-dos/la-oreja-de-van-gogh/,0.0,,False,validation,weak-rules-v1.2,sitemap_url_slug,2026-04-20T23:34:10.201642+00:00,,sl,0.571426,kept,kept_original
25c56e242487d327,Mano Menezes y los partidos de la selección peruana en ciudades de altura: “Estamos conversando sobre esa posibilidad”,Mano Menezes y los partidos de la selección peruana en ciudades de altura: “Estamos conversando sobre esa posibilidad”,informativo,internacional,Infobae,,,2026-04-20T21:32:45.382000+00:00,https://www.infobae.com/peru/deportes/2026/04/20/mano-menezes-y-los-partidos-de-la-seleccion-peruana-en-ciudades-de-altura-estamos-conversando-sobre-esa-posibilidad/,0.0,,False,train,weak-rules-v1.2,news_sitemap,2026-04-20T23:37:12.671817+00:00,,es,0.999996,kept,kept_original
aee5c0456c025d18,cruzeiro recibira a la uc de luto hincha murio atropellado afuera del mineirao,cruzeiro recibira a la uc de luto hincha murio atropellado afuera del mineirao,informativo,nacional,En Cancha,,,2026-04-13T15:03:47.086000+00:00,https://www.encancha.cl/futbol-chileno/u-catolica/2026/04/13/cruzeiro-recibira-a-la-uc-de-luto-hincha-murio-atropellado-afuera-del-mineirao/,0.0,,False,train,weak-rules-v1.2,sitemap_url_slug,2026-04-20T23:35:10.003135+00:00,,es,0.571427,kept,kept_original
e9db3e77b2a6a2ac,irreverente pero desordenado la gran duda de fernando ortiz con el nuevo regalon del monumental,irreverente pero desordenado la gran duda de fernando ortiz con el nuevo regalon del monumental,informativo,nacional,En Cancha,,,2026-04-03T17:10:48.837000+00:00,https://www.encancha.cl/futbol-chileno/colo-colo/2026/04/03/irreverente-pero-desordenado-la-gran-duda-de-fernando-ortiz-con-el-nuevo-regalon-del-monumental/,0.0,,False,train,weak-rules-v1.2,sitemap_url_slug,2026-04-20T23:35:10.043801+00:00,,es,0.999993,kept,kept_original
91ccd1f66ced5786,no se por que les duele tanto fran garcia huidobro respondio tras filtracion de su sueldo,no se por que les duele tanto fran garcia huidobro respondio tras filtracion de su sueldo,informativo,nacional,La Cuarta,,,2026-04-18T20:30:43.117000+00:00,https://www.lacuarta.com/espectaculos/noticia/no-se-por-que-les-duele-tanto-fran-garcia-huidobro-respondio-tras-filtracion-de-su-sueldo/,0.26,curiosity_gap:por que,False,train,weak-rules-v1.2,sitemap_url_slug,2026-04-20T23:32:58.255150+00:00,,es,0.999993,kept,kept_original
7bfee9f9ceb210c2,la justicia argentina ordena bloquear a cuevana,la justicia argentina ordena bloquear a cuevana,informativo,nacional,CNN Chile,,,2011-11-30T22:50:00+00:00,https://www.cnnchile.com/tecnologias/la-justicia-argentina-ordena-bloquear-a-cuevana_20111130/,0.0,,False,train,weak-rules-v1.2,sitemap_url_slug,2026-04-20T23:28:55.065439+00:00,,es,0.999993,kept,kept_original
162c710d41112559,Netflix sube los precios en España: esto es lo que te costará ver todas tus series y películas favoritas,Netflix sube los precios en España: esto es lo que te costará ver todas tus series y películas favoritas,clickbait,internacional,20 Minutos,Mario Bordonaba,Aplicaciones,2026-04-20T10:46:14+02:00,https://www.20minutos.es/tecnologia/aplicaciones/netflix-sube-los-precios-espana-esto-es-que-te-costara-ahora-ver-tus-series-pelis-favoritas_6960191_0.html,0.42,"curiosity_gap:esto es lo que,lo que;curiosity_colon_framing",False,test,manual-review-v1.0,rss,2026-04-20T23:37:56.119829+00:00,https://www.20minutos.es/rss/,es,0.999997,kept,kept_original
b172ed9056c17994,los preparativos para el clasico universitario,los preparativos para el clasico universitario,informativo,nacional,CNN Chile,,,2011-11-18T23:10:00+00:00,https://www.cnnchile.com/deportes/los-preparativos-para-el-clasico-universitario_20111118/,0.0,,False,train,weak-rules-v1.2,sitemap_url_slug,2026-04-20T23:28:55.091406+00:00,,es,0.999996,kept,kept_original
b930e5e24ecfbb7c,plataforma premia2 anuncia nuevo lanzamiento dinero pese caos mallplaza vespucio 05 04 2026,plataforma premia2 anuncia nuevo lanzamiento dinero pese caos mallplaza vespucio 05 04 2026,informativo,nacional,Meganoticias,,,2026-04-05T11:42:00-04:00,https://www.meganoticias.cl/nacional/518763-plataforma-premia2-anuncia-nuevo-lanzamiento-dinero-pese-caos-mallplaza-vespucio-05-04-2026.html,0.0,,False,train,weak-rules-v1.2,sitemap_url_slug,2026-04-20T23:31:41.224230+00:00,,es,0.999996,kept,kept_original
dceb1495181dc7b8,Tras remontada sobre las locales: así quedó el grupo de Chile en la Copa América Femenina,Tras remontada sobre las locales: así quedó el grupo de Chile en la Copa América Femenina,clickbait,nacional,BioBioChile,,pressrelease,2025-07-22T11:28:03+00:00,https://www.biobiochile.cl/noticias/deportes/futbol/la-roja/2025/07/22/copa-america-femenina-grupo-de-chile-a-una-fecha-del-final.shtml,0.48,curiosity_gap:asi quedo;curiosity_colon_framing;clickbait_framing:asi quedo,False,train,manual-review-v1.0,news_sitemap,2026-04-20T23:28:49.334764+00:00,,es,0.999995,kept,kept_original
e2b3bbfc56234af5,Impactante primera imagen del brazo de Alcaraz tras su lesión en el Godó,Impactante primera imagen del brazo de Alcaraz tras su lesión en el Godó,informativo,internacional,Mundo Deportivo,,,2026-04-20T12:49:12+00:00,https://www.mundodeportivo.com/tenis/20260420/1004172821/impactante-primera-imagen-brazo-alcaraz-lesion-godo.html,0.15,sensational_language:impactante,False,test,weak-rules-v1.2,news_sitemap,2026-04-20T23:38:30.054271+00:00,,es,0.999997,kept,kept_original
e8797ef0d7a7b52a,Morante paga con una cornada muy grave su ofrenda absoluta,Morante paga con una cornada muy grave su ofrenda absoluta,informativo,internacional,ABC,,,2026-04-20T23:50:20+02:00,https://www.abc.es/cultura/toros/sevilla/lunes-toros-maestranza-sevilla-morante-20260420200952-nts.html,0.0,,False,train,weak-rules-v1.2,rss,2026-04-20T23:38:12.378125+00:00,https://www.abc.es/rss/2.0/portada/,es,0.999996,kept,kept_original
9d73f28d817a4267,"Mató todo lo que yo soy"": Disley Ramos criticó duramente la edición de Mundos Opuestos por daño a su imagen","Mató todo lo que yo soy"": Disley Ramos criticó duramente la edición de Mundos Opuestos por daño a su imagen",clickbait,nacional,FMDOS,Aranza Lineros,Espectáculos,2026-04-18T22:11:58+00:00,https://www.fmdos.cl/espectaculos/mato-todo-lo-que-yo-soy-disley-ramos-critico-duramente-la-edicion-de-mundos-opuestos-por-dano-a-su-imagen/,0.36,curiosity_gap:lo que;curiosity_colon_framing,False,train,manual-review-v1.0,rss,2026-04-20T23:33:18.763435+00:00,https://www.fmdos.cl/feed/,es,0.999997,kept,kept_original
520ce7a6a188e6f7,flores dia de las madres transporte avianca panorama mundial tv,flores dia de las madres transporte avianca panorama mundial tv,informativo,internacional,CNN Espanol,,,2026-04-14T01:39:26.423000+00:00,https://cnnespanol.cnn.com/2026/04/13/latinoamerica/video/flores-dia-de-las-madres-transporte-avianca-panorama-mundial-tv,0.0,,False,train,weak-rules-v1.2,sitemap_url_slug,2026-04-20T23:36:22.176570+00:00,,es,0.999995,kept,kept_original
18de85255c0ee9a0,José Coronado desmiente que se haya casado con una compañera de la serie 'Entrevías,José Coronado desmiente que se haya casado con una compañera de la serie 'Entrevías,informativo,internacional,ABC,,,2026-04-20T11:26:14+02:00,https://www.abc.es/gente/jose-coronado-casa-secreto-anos-companera-serie-20260420110522-nt.html,0.0,,False,train,weak-rules-v1.2,news_sitemap,2026-04-20T23:38:18.949506+00:00,,es,0.999997,kept,kept_original
