id,headline,headline_original,label,source_type,source,author,section,published_at,url,clickbait_score,clickbait_reasons,needs_review,split,labeling_method,collection_method,scraped_at,feed_url,headline_language_detected,headline_language_probability,headline_translation_reason,headline_translation_method
162c710d41112559,Netflix sube los precios en España: esto es lo que te costará ver todas tus series y películas favoritas,Netflix sube los precios en España: esto es lo que te costará ver todas tus series y películas favoritas,clickbait,internacional,20 Minutos,Mario Bordonaba,Aplicaciones,2026-04-20T10:46:14+02:00,https://www.20minutos.es/tecnologia/aplicaciones/netflix-sube-los-precios-espana-esto-es-que-te-costara-ahora-ver-tus-series-pelis-favoritas_6960191_0.html,0.42,"curiosity_gap:esto es lo que,lo que;curiosity_colon_framing",False,test,manual-review-v1.0,rss,2026-04-20T23:37:56.119829+00:00,https://www.20minutos.es/rss/,es,0.999997,kept,kept_original
0ba2fc912b43815e,El impactante procedimiento estético que se realizó Luis Jara: este es su increíble antes y después,El impactante procedimiento estético que se realizó Luis Jara: este es su increíble antes y después,clickbait,nacional,FMDOS,Francisca Soto,Espectáculos,2026-04-20T21:27:57+00:00,https://www.fmdos.cl/espectaculos/el-impactante-procedimiento-estetico-que-se-realizo-luis-jara-este-es-su-increible-antes-y-despues/,0.42,"sensational_language:impactante,increible;clickbait_framing:este es;vague_subject",False,train,manual-review-v1.0,rss,2026-04-20T23:33:18.756906+00:00,https://www.fmdos.cl/feed/,es,0.999996,kept,kept_original
a444013189c47506,como va el caso de daniela berriel y que paso con el hombre al que acuso de abuso sexual,como va el caso de daniela berriel y que paso con el hombre al que acuso de abuso sexual,clickbait,internacional,Infobae,,,2026-02-20T04:34:38.925000+00:00,https://www.infobae.com/america/entretenimiento/2022/03/09/como-va-el-caso-de-daniela-berriel-y-que-paso-con-el-hombre-al-que-acuso-de-abuso-sexual/,0.42,curiosity_gap:que paso;question_opener_without_punctuation,False,train,manual-review-v1.0,sitemap_url_slug,2026-04-20T23:37:12.688825+00:00,,es,0.999995,kept,kept_original
16d6b301fb565ba0,"Karol G anuncia nueva gira mundial ""Tropicoqueta"": fechas, lugares, venta de entradas y todo lo que se sabe","Karol G anuncia nueva gira mundial ""Tropicoqueta"": fechas, lugares, venta de entradas y todo lo que se sabe",informativo,nacional,FMDOS,Bastián Jaque,Música,2026-04-20T12:51:30+00:00,https://www.fmdos.cl/noticias/karol-g-anuncia-nueva-gira-mundial-tropicoqueta-fechas-lugares-venta-de-entradas-y-todo-lo-que-se-sabe/,0.42,"curiosity_gap:lo que,lo que se sabe;curiosity_colon_framing",False,train,manual-review-v1.0,rss,2026-04-20T23:33:18.759984+00:00,https://www.fmdos.cl/feed/,es,0.999996,kept,kept_original
ea60fdabe73adb5d,que me importa a mi lo que digai voh vuelve a hacer video loco round en vivo entre gaspar rivas y checho hirane,que me importa a mi lo que digai voh vuelve a hacer video loco round en vivo entre gaspar rivas y checho hirane,clickbait,nacional,La Cuarta,,,2026-04-15T11:37:11.968000+00:00,https://www.lacuarta.com/chile/noticia/que-me-importa-a-mi-lo-que-digai-voh-vuelve-a-hacer-video-loco-round-en-vivo-entre-gaspar-rivas-y-checho-hirane/,0.42,curiosity_gap:lo que;question_opener_without_punctuation,False,train,manual-review-v1.0,sitemap_url_slug,2026-04-20T23:32:58.272291+00:00,,es,0.999997,kept,kept_original
ef72f9fde24949cf,lo que paso en chile es primera noticia en uruguay,lo que paso en chile es primera noticia en uruguay,clickbait,nacional,CNN Chile,,,2011-11-09T19:30:00+00:00,https://www.cnnchile.com/deportes/lo-que-paso-en-chile-es-primera-noticia-en-uruguay_20111109/,0.42,"curiosity_gap:lo que,que paso;curiosity_gap_opener",False,test,manual-review-v1.0,sitemap_url_slug,2026-04-20T23:28:55.106032+00:00,,es,0.999997,kept,kept_original
60ef0ae2f5e1d6f4,Karol G confirma su nuevo Tour 2026: todo lo que se sabe de la gira con 'Tropicoqueta,Karol G confirma su nuevo Tour 2026: todo lo que se sabe de la gira con 'Tropicoqueta,clickbait,nacional,Pagina 7,,,2026-04-20T15:40:00+00:00,https://www.pagina7.cl/actualidad/karol-g-confirma-su-nuevo-tour-2026-todo-lo-que-se-sabe-de-la-gira-con-tropicoqueta/,0.42,"curiosity_gap:lo que,lo que se sabe;curiosity_colon_framing",False,train,manual-review-v1.0,news_sitemap,2026-04-20T23:33:16.638963+00:00,,es,0.999994,kept,kept_original
3c4848bcbbd18989,Dos menores desaparecidos en Cartagena fueron encontrados en Santa Marta: el alcalde Dumek Turbay reveló qué fue lo que pasó,Dos menores desaparecidos en Cartagena fueron encontrados en Santa Marta: el alcalde Dumek Turbay reveló qué fue lo que pasó,clickbait,internacional,Infobae,,,2026-04-20T17:51:18.901000+00:00,https://www.infobae.com/colombia/2026/04/20/dos-menores-desaparecidos-en-cartagena-fueron-encontrados-en-santa-marta-el-alcalde-dumek-turbay-revelo-que-fue-lo-que-paso/,0.42,"curiosity_gap:lo que,que paso;curiosity_colon_framing",False,train,manual-review-v1.0,news_sitemap,2026-04-20T23:37:12.666028+00:00,,es,0.999998,kept,kept_original
58fd661a87d94011,No devuelvas el recibo del seguro del coche si te han subido el precio sin avisar: esto es lo que puedes hacer para reclamar o pagar menos,No devuelvas el recibo del seguro del coche si te han subido el precio sin avisar: esto es lo que puedes hacer para reclamar o pagar menos,clickbait,internacional,La Vanguardia,Cecilia Velázquez,Actualidad,2026-04-17T07:00:00+02:00,https://www.lavanguardia.com/motor/actualidad/20260417/11513033/te-han-subido-precio-seguro-coche-avisar-devuelvas-recibo-esto-puedes-que-casos-puedes-reclamar.html,0.42,"curiosity_gap:esto es lo que,lo que;curiosity_colon_framing",False,train,manual-review-v1.0,rss,2026-04-20T23:38:05.989044+00:00,https://www.lavanguardia.com/rss/home.xml,es,0.999995,kept,kept_original
f53478584f22a956,El Alavés de Quique quiere replicar ante el Real Madrid lo que pasó en 2020,El Alavés de Quique quiere replicar ante el Real Madrid lo que pasó en 2020,clickbait,internacional,Mundo Deportivo,Javier Alfaro,Deportivo Alavés,2026-04-20T19:38:53+02:00,https://www.mundodeportivo.com/futbol/alaves/20260420/1004172987/alaves-quique-quiere-replicar-real-madrid-paso-2020.html,0.42,"curiosity_gap:lo que,que paso;vague_subject",False,train,manual-review-v1.0,rss,2026-04-20T23:38:20.505068+00:00,https://www.mundodeportivo.com/rss/home.xml,es,0.857139,kept,kept_original
