id,headline,url,source,source_type,author,published_at,section,collection_method,scraped_at,feed_url
673d7c7abbd83798,Digitalización en el seguimiento de la compra y venta y los alcances legales de agentes inmobiliarios,https://www.biobiochile.cl/biobiotv/programas/jardin-de-las-propiedades/2025/07/21/digitalizacion-en-el-seguimiento-de-la-compra-y-venta-y-los-alcances-legales-de-agentes-inmobiliarios.shtml,BioBioChile,nacional,Gabriela Pulgar,2025-07-21T15:20:21-04:00,jardin-de-las-propiedades,sitemap_article,2026-04-18T22:33:27.293939+00:00,
a3673ae9b1fcfcc8,"Discapacitado, pobre y viviendo en colchón: el duro presente del descubridor de Ronaldo, el ’Fenómeno’",https://www.biobiochile.cl/noticias/deportes/futbol-internacional/notas-futbol-internacional/2025/07/21/discapacitado-pobre-y-viviendo-en-colchon-el-duro-presente-del-descubridor-de-ronaldo-el-fenomeno.shtml,BioBioChile,nacional,Pablo Velozo,2025-07-21T16:59:51-04:00,notas-futbol-internacional,sitemap_article,2026-04-18T22:33:28.343517+00:00,
2762a07b4ddaf03d,Régimen de Maduro abre investigación contra Bukele por presunta tortura a venezolanos en megacárcel,https://www.biobiochile.cl/noticias/internacional/america-latina/2025/07/21/venezuela-abre-investigacion-contra-bukele-por-presunta-tortura-a-venezolanos-en-megacarcel.shtml,BioBioChile,nacional,Jean Valencia,2025-07-21T17:01:10-04:00,america-latina,sitemap_article,2026-04-18T22:33:27.845466+00:00,
ebcddc77ce496604,"No porque sea gay tengo VIH"": Leo Méndez Jr. expuso examen ante ola de rumores en torno a su salud",https://www.biobiochile.cl/noticias/espectaculos-y-tv/notas-espectaculos-tv/2025/07/21/no-porque-sea-gay-tengo-vih-leo-mendez-jr-expuso-examen-ante-ola-de-rumores-en-torno-a-su-salud.shtml,BioBioChile,nacional,Francisco Iturra,2025-07-21T17:06:33-04:00,notas-espectaculos-tv,sitemap_article,2026-04-18T22:33:26.991581+00:00,
a9dc20bdd35a6e1c,Otra vez sorprenden a micreros bajo efectos de la cocaína en región del Bío Bío: van 17 casos este año,https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2025/07/21/otra-vez-sorprenden-a-micreros-bajo-efectos-de-la-cocaina-en-region-del-bio-bio-van-17-casos-este-ano.shtml,BioBioChile,nacional,Daniela Salgado,2025-07-21T17:16:05-04:00,region-del-bio-bio,sitemap_article,2026-04-18T22:33:26.429632+00:00,
dbdbc9dee810d5ad,La gran deuda con la niñez que fue institucionalizada,https://www.biobiochile.cl/noticias/opinion/columnas-bbcl/2025/07/21/la-gran-deuda-con-la-ninez-que-fue-institucionalizada.shtml,BioBioChile,nacional,Judith Schönsteiner,2025-07-21T17:23:11-04:00,columnas-bbcl,sitemap_article,2026-04-18T22:33:23.373683+00:00,
54a430584a2b4e2c,"Es una visita programada"": Cordero explica operativo por visita de ""Comandante Ramiro"" a la FALP",https://www.biobiochile.cl/noticias/nacional/region-metropolitana/2025/07/21/es-una-visita-programada-cordero-explica-operativo-por-visita-de-comandante-ramiro-a-la-falp.shtml,BioBioChile,nacional,Samuel Fuentes,2025-07-21T17:23:17-04:00,region-metropolitana,sitemap_article,2026-04-18T22:33:25.932798+00:00,
93066b146113c936,Jairo Vera en prisión preventiva tras ser investigado por presunta violación de menor de edad,https://www.biobiochile.cl/noticias/artes-y-cultura/actualidad-cultural/2025/07/21/jairo-vera-en-prision-preventiva-tras-ser-investigado-por-presunta-violacion-de-menor-de-edad.shtml,BioBioChile,nacional,Emilio Contreras,2025-07-21T17:32:48-04:00,actualidad-cultural,sitemap_article,2026-04-18T22:33:25.378443+00:00,
6be8059f314c2a8f,Está en todas partes: así se verá Pedro Pascal en Fortnite junto a ’Los 4 Fantásticos’,https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/videojuegos/2025/07/21/esta-en-todas-partes-asi-se-vera-pedro-pascal-en-fortnite-junto-a-los-4-fantasticos.shtml,BioBioChile,nacional,Sara Jerez,2025-07-21T17:32:51-04:00,videojuegos,sitemap_article,2026-04-18T22:33:23.904921+00:00,
59a8e28592785f3c,Tomás Barrios se despide del ATP Umag en primera ronda: verdugo fue el mismo de hace una semana,https://www.biobiochile.cl/noticias/deportes/tenis/2025/07/21/tomas-barrios-se-despide-del-atp-umag-en-primera-ronda-verdugo-fue-el-mismo-de-hace-una-semana.shtml,BioBioChile,nacional,Francisco Solís,2025-07-21T17:41:03-04:00,tenis,sitemap_article,2026-04-18T22:33:22.176256+00:00,
